Index,Longitude,Latitude,Severity,Vehicles Involved,Casualties,Date,Time,Speed Limit,Light Conditions,Weather Conditions,Road Surface Conditions,Urban or Rural,Officer Attended Scene of Accident
201250EK2A002,-4.120071,50.349221,Slight,1,1,19/01/2012,23:33,60,Darkness (No Lighting),Fine,Wet / Damp,Rural,Yes
201250EK2A012,-4.113625,50.353152,Slight,1,1,08/08/2012,15:56,30,Daylight,Fine,Dry,Urban,Yes
201250EK2A007,-4.112895,50.353175,Slight,1,1,12/05/2012,11:44,30,Daylight,Fine,Dry,Urban,Yes
201250EK2A015,-4.112828,50.353257,Slight,1,1,02/11/2012,21:00,30,Daylight,Raining,Wet / Damp,Urban,Yes
201250EK2A011,-4.111891,50.354317,Slight,2,1,17/07/2012,18:12,30,Daylight,Fine,Dry,Urban,No
201250EC2D018,-4.161466,50.362149,Slight,1,3,23/05/2012,20:55,30,Daylight,Fine,Dry,Urban,Yes
201250EC2J003,-4.116091,50.36373,Slight,2,1,17/01/2012,17:52,30,Darkness (Lights Lit),Fine,Wet / Damp,Urban,Yes
201250EC2J002,-4.118538,50.364999,Slight,2,1,19/01/2012,17:00,30,Darkness (Lights Lit),Fine,Dry,Urban,Yes
201250EC2J017,-4.120822,50.366702,Slight,2,1,29/04/2012,21:38,30,Darkness (Lights Lit),Raining,Wet / Damp,Urban,Yes
201250EC2D023,-4.162434,50.367051,Slight,2,1,19/07/2012,16:00,30,Daylight,Fine,Dry,Urban,No
201250EC2J048,-4.127139,50.36709,Serious,2,1,26/11/2012,17:15,30,Darkness (Lights Lit),Other Weather,Wet / Damp,Urban,Yes
201250EC2J013,-4.121082,50.367165,Slight,2,1,28/03/2012,21:36,30,Darkness (Lights Lit),Unknown,Dry,Urban,Yes
201250EC2E022,-4.143732,50.367388,Serious,3,1,23/03/2012,17:20,30,Daylight,Fine,Dry,Urban,Yes
201250ED2L023,-4.167175,50.367403,Slight,2,1,19/12/2012,10:13,30,Daylight,Raining,Wet / Damp,Urban,No
